scene,object_name,object_id,symmetry,valid_points,pointnet_rot_deg,pointnet_trans_cm,final_rot_deg,final_trans_cm,icp_rot_improvement_deg,icp_trans_improvement_cm,icp_fitness,icp_rmse_cm,icp_quarter_turn_used,final_pass_5deg_1cm,rgb_path
2-6-14,sugar_box,55,z2|x2,322,1.8906958877152116,0.061866403,1.4716118564175673,0.09904609157402097,0.41908403129764427,-0.037179688947983375,0.3761467889908257,0.16375960426081002,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-6-14_color_kinect.png
2-26-15,rubiks_cube,52,z4|x4|y4,445,1.1681877510942973,0.25004482,1.469171869758215,0.093517972705442,-0.3009841186639177,0.1565268499874291,0.3248898678414097,0.1692008139706914,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-26-15_color_kinect.png
2-21-18,pudding_box,51,z2|x2,188,2.545459785240396,0.082223445,1.4687100173096592,0.11285702575134879,1.0767497679307367,-0.03063358057427054,0.4178272980501393,0.15394306922734718,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-21-18_color_kinect.png
2-52-12,rubiks_cube,52,z4|x4|y4,431,2.8571431534803087,0.26586488,1.4646558926039432,0.15311630792937975,1.3924872608763654,0.11274857096351881,0.3458149779735683,0.1716023461818695,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-52-12_color_kinect.png
2-78-13,pudding_box,51,z2|x2,217,3.5100725187063713,0.09428011,1.4636815040755768,0.1245731584488885,2.046391014630794,-0.03029304963941737,0.39275766016713093,0.17578597680979202,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-78-13_color_kinect.png
1-63-18,tomato_soup_can,56,zinf|x2,608,2.6641453064968457,0.7582836,1.4636527858922965,0.1106957468560383,1.2004925206045491,0.6475878682562664,0.2960426179604262,0.16858369199787673,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-63-18_color_kinect.png
2-26-17,rubiks_cube,52,z4|x4|y4,435,2.1756438194020666,0.34131867,1.4613883000090009,0.11980910353772264,0.7142555193930658,0.2215095633972444,0.3314977973568282,0.17311565537270443,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-26-17_color_kinect.png
1-2-18,wood_block,58,z2|y2|x4,529,0.7304424482612062,0.19527677,1.4586987664382172,0.119691600728812,-0.728256318177011,0.07558516628664515,0.344644750795334,0.17373956309492233,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-2-18_color_kinect.png
2-82-9,sugar_box,55,z2|x2,333,1.670264027888371,0.16256824,1.4561538718648963,0.15145493498160323,0.2141101560234746,0.011113306376200116,0.3798165137614679,0.1745490939946665,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-82-9_color_kinect.png
1-58-12,pudding_box,51,z2|x2,222,1.644102452160601,0.07136361,1.453650241321545,0.10762343741253398,0.19045221083905584,-0.03625982440308116,0.3955431754874652,0.17376545044127398,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-58-12_color_kinect.png
2-32-19,d_toy_airplane,18,zinf,135,1.4524752956453582,0.05163565,1.4524752956453582,0.05163564905524254,0.0,0.0,0.0,0.0,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-32-19_color_kinect.png
2-36-15,tuna_fish_can,57,zinf|x2,132,2.72533136054953,0.09086682,1.4484183055342124,0.1270256719179101,1.2769130550153176,-0.03615885289382409,0.4396135265700483,0.17107085608662126,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\2-36-15_color_kinect.png
1-44-19,tuna_fish_can,57,zinf|x2,126,0.4105841971197005,0.21427096,1.4413112159789416,0.10726953844852462,-1.030727018859241,0.10700142581634507,0.463768115942029,0.1620422832619611,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-44-19_color_kinect.png
1-2-18,jenga,35,z2|x2,670,1.5172705452707902,0.14108358,1.4404313029133513,0.09555732805353612,0.07683924235743889,0.045526255182204545,0.34935304990757854,0.16407453142510706,False,True,C:\Users\Owner\Desktop\Fall2023\CSE275\6D Pose\training_data_filtered\training_data\v2.2\1-2-18_color_kinect.png
